Bundesland;Landkreis;Verwaltung;man;woman;older75;catholic;evangelic
1;57;Gemeinde;7321;8150;1707;861;8474
1;57;Gemeinde;6481;7070;1385;637;6451
1;57;Gemeindeverband;7874;8139;1503;768;10326
1;57;Gemeinde;319;308;45;31;376
1;57;Gemeinde;870;897;152;62;1227
1;57;Gemeinde;323;342;54;43;441
1;57;Gemeinde;552;548;75;59;718
1;57;Gemeinde;168;163;26;18;191
1;57;Gemeinde;207;214;43;19;292
1;57;Gemeinde;551;515;78;66;594
1;57;Gemeinde;424;460;127;66;444
1;57;Gemeinde;92;84;9;6;133
1;57;Gemeinde;376;372;55;30;518
1;57;Gemeinde;57;50;25;3;76
1;57;Gemeinde;2630;2841;619;273;3579
1;57;Gemeinde;713;736;116;60;951
1;57;Gemeinde;398;413;45;32;513
1;57;Gemeinde;194;196;34;0;273
1;57;Gemeindeverband;4424;4608;860;443;5627
1;57;Gemeinde;1498;1646;325;186;1906
1;57;Gemeinde;675;691;151;65;861
1;57;Gemeinde;425;440;89;43;543
1;57;Gemeinde;127;144;36;3;156
1;57;Gemeinde;447;462;51;46;541
1;57;Gemeinde;281;286;25;18;372
1;57;Gemeinde;297;303;69;9;428
1;57;Gemeinde;156;139;28;18;151
1;57;Gemeinde;181;163;21;22;218
1;57;Gemeinde;252;249;41;18;332
1;57;Gemeinde;85;85;24;15;119
1;57;Gemeindeverband;4652;4808;669;352;5488
1;57;Gemeinde;70;84;6;3;88
1;57;Gemeinde;221;226;15;19;252
1;57;Gemeinde;134;136;25;13;165
1;57;Gemeinde;93;95;14;3;100
1;57;Gemeinde;213;222;28;9;200
1;57;Gemeinde;351;397;54;18;451
1;57;Gemeinde;125;139;26;3;146
1;57;Gemeinde;333;320;33;24;362
1;57;Gemeinde;702;671;88;58;869
1;57;Gemeinde;160;154;27;20;195
1;57;Gemeinde;205;225;37;10;267
1;57;Gemeinde;225;235;38;12;282
1;57;Gemeinde;234;227;29;33;235
1;57;Gemeinde;416;436;55;34;463
1;57;Gemeinde;736;805;152;61;923
1;57;Gemeinde;255;248;20;15;306
1;57;Gemeinde;179;188;22;17;184
1;57;Gemeindeverband;10447;11044;2004;1123;11775
1;57;Gemeinde;281;263;45;19;315
1;57;Gemeinde;96;127;24;0;155
1;57;Gemeinde;206;212;29;12;233
1;57;Gemeinde;76;68;0;9;73
1;57;Gemeinde;291;283;37;37;304
1;57;Gemeinde;211;203;22;24;238
1;57;Gemeinde;406;405;39;18;501
1;57;Gemeinde;223;234;13;21;256
1;57;Gemeinde;206;198;30;24;252
1;57;Gemeinde;2361;2560;590;307;2408
1;57;Gemeinde;190;181;24;15;194
1;57;Gemeinde;171;164;13;10;203
1;57;Gemeinde;232;220;29;9;280
1;57;Gemeinde;1002;1043;138;87;1224
1;57;Gemeinde;2862;3216;677;377;3391
1;57;Gemeinde;220;238;51;9;312
1;57;Gemeinde;387;420;72;49;391
1;57;Gemeinde;147;162;22;18;185
1;57;Gemeinde;526;507;103;51;496
1;57;Gemeinde;353;340;46;27;364
1;57;Gemeindeverband;2769;2790;362;230;3287
1;57;Gemeinde;540;563;46;44;630
1;57;Gemeinde;134;130;21;15;157
1;57;Gemeinde;489;497;56;38;574
1;57;Gemeinde;300;286;47;16;407
1;57;Gemeinde;241;260;43;33;259
1;57;Gemeinde;674;685;100;69;804
1;57;Gemeinde;391;369;49;15;456
1;57;Gemeindeverband;8661;9633;2122;1069;9238
1;57;Gemeinde;3815;4377;1030;511;4142
1;57;Gemeinde;1803;2011;446;221;1877
1;57;Gemeinde;3043;3245;646;337;3219
1;57;Gemeindeverband;3977;4119;639;342;5069
1;57;Gemeinde;184;180;27;15;225
1;57;Gemeinde;277;262;43;26;365
1;57;Gemeinde;389;414;68;28;585
1;57;Gemeinde;475;486;78;30;636
1;57;Gemeinde;437;450;63;25;632
1;57;Gemeinde;615;655;80;67;703
1;57;Gemeinde;178;187;25;22;176
1;57;Gemeinde;1422;1485;255;129;1747
1;58;Stadtkreis/kreisfreie Stadt/Landkreis;131868;137496;23935;13460;154742
1;58;Gemeinde;4752;5063;1024;588;4713
1;58;Gemeinde;4817;5179;1104;595;5682
1;58;Gemeinde;10536;11408;2271;1197;11861
1;58;Gemeinde;2426;2632;567;204;3180
1;58;Gemeinde;5492;6277;1448;801;5422
1;58;Gemeinde;13361;14233;2766;1887;14716
1;58;Gemeinde;1090;1137;168;107;1310
